Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDY27,OUT017,2824.4535999903383
FDV56,OUT035,1820.6666075999237
FDT59,OUT046,3819.7799806348266
FDB23,OUT046,3755.5190619046516
FDR49,OUT045,340.1484820932783
FDB03,OUT010,2846.9397166500858
FDN39,OUT045,2778.5229332226336
FDX02,OUT027,3688.5972905754243
FDQ16,OUT027,1956.0125148357329
FDU35,OUT018,1360.595950855859
NCT29,OUT013,2051.1656601716822
FDZ27,OUT046,997.58457251246
FDN57,OUT017,2072.7858749084407
FDA03,OUT018,2165.3631715326483
FDZ36,OUT045,2867.9725430357794
NCU05,OUT013,1440.0405647732623
FDT39,OUT018,2484.3407244651244
FDK60,OUT017,1227.2850424792632
FDZ25,OUT017,2659.6972849868034
FDG12,OUT046,2209.647511456824
DRB01,OUT019,2799.8303672022994
NCC43,OUT027,3956.4322262915703
FDX13,OUT019,3964.5501768235154
FDM22,OUT049,899.4059635923477
FDJ03,OUT027,897.3521915011879
FDU14,OUT018,4003.67388272491
FDB33,OUT010,2626.4641365723473
FDP27,OUT046,2758.6097024000046
FDO38,OUT010,901.3084883379015
FDE28,OUT027,3487.4354351871007
FDO27,OUT035,915.6128998827116
DRL23,OUT027,2064.3872504577084
FDS28,OUT046,822.5635023649629
FDX24,OUT013,1840.7154594694584
FDZ02,OUT035,1565.8157698793439
FDL46,OUT045,1764.3848600928795
FDS60,OUT027,3106.5293438801564
NCO06,OUT017,144.8131127157285
FDO16,OUT035,1494.9799527602227
FDC60,OUT049,1155.1511863525302
FDA48,OUT018,3051.5521949139547
FDZ36,OUT027,3372.549059471734
FDK27,OUT045,2081.5099111602503
FDW23,OUT018,404.3692722201522
FDM14,OUT018,1784.8012995191602
FDM14,OUT013,2057.2195297441176
FDW60,OUT018,2873.3728233768525
FDE21,OUT013,2147.5870744797867
NCM42,OUT035,1818.1737400349011
FDY59,OUT010,1537.3929537266013
DRI49,OUT049,697.2458120321098
FDT28,OUT019,2318.86784788562
FDQ22,OUT018,590.9195361825732
FDR60,OUT049,862.5736759772444
FDC50,OUT019,856.4522441944428
FDV24,OUT013,2377.2771417648946
DRF48,OUT010,3265.1026470864344
FDQ47,OUT046,136.9666516096513
DRN36,OUT049,1547.2821772112293
NCY06,OUT035,1916.5755077143513
FDE52,OUT035,1476.5823463622728
NCB54,OUT045,2005.433110827671
NCF31,OUT035,2369.167639264877
FDJ08,OUT027,2925.699318119241
NCC07,OUT017,1667.022209887291
NCD19,OUT027,1240.941014355245
FDL46,OUT049,2082.3619675977316
FDM20,OUT045,3913.044782599809
NCI06,OUT010,2747.0848345762097
DRM11,OUT035,3986.481373885901
NCH07,OUT018,2182.0589219441863
FDS23,OUT013,1864.2334508857894
FDO49,OUT018,759.9968664915068
FDS35,OUT049,802.8555127719919
DRK39,OUT045,1322.6752485678735
DRI39,OUT049,732.0116334888662
FDV04,OUT017,1971.3301305500245
NCN14,OUT035,2597.951205635298
FDH08,OUT013,3993.9130716605687
FDS20,OUT046,2932.8660283646277
FDV40,OUT049,1352.8317114211459
FDZ48,OUT010,1403.5586663442664
FDS24,OUT027,1547.442743653035
FDK44,OUT049,2414.7267133337155
FDS48,OUT045,2563.603580244977
FDK26,OUT010,2999.5790604520844
FDD23,OUT045,2970.4237224116405
NCH54,OUT017,2345.3441331805916
NCP14,OUT010,1134.8476993981167
FDM60,OUT010,543.5529266841586
FDV24,OUT017,2092.0650785704347
FDH08,OUT018,3655.79965164806
FDS12,OUT027,1668.6989371920026
FDR39,OUT027,2903.942539965523
FDP12,OUT027,826.3519711804402
DRF60,OUT027,3919.109150726541
FDC09,OUT035,1669.2763078744501
FDF50,OUT018,2743.9537847103056
FDG28,OUT035,3806.1721402842595
NCE19,OUT017,623.0855540738157
NCM53,OUT010,1542.964885787922
NCN18,OUT049,2023.6111557722215
FDF32,OUT035,2980.8703550927967
FDF11,OUT013,4107.975274376269
DRI59,OUT049,3619.308933007065
NCG54,OUT035,2489.3964774470223
FDM44,OUT046,1740.2234144571703
FDT57,OUT018,3720.083089369451
FDV24,OUT046,2230.3336386370756
FDI50,OUT019,3774.5427474099124
FDS09,OUT035,654.1158264262813
NCC31,OUT027,2785.771951002247
FDQ07,OUT019,3188.234855224069
FDC22,OUT017,2567.448655631837
FDZ56,OUT046,2804.0069501630132
FDZ40,OUT019,984.0570957439195
FDS46,OUT027,2096.4769557472355
DRD24,OUT045,2277.261888134417
FDV45,OUT017,2884.6315614361447
FDL26,OUT045,2297.8398419053483
FDA56,OUT018,2033.5064726150958
FDN27,OUT046,1915.5817927882526
FDM20,OUT049,3935.5388331590148
FDO16,OUT017,1425.309545869888
FDL03,OUT035,3094.832113877459
FDE58,OUT046,1854.1877014692764
FDI02,OUT027,1696.605414784306
NCC55,OUT019,561.873781099297
FDR03,OUT018,3288.8261172387356
FDB14,OUT017,1093.4863688464793
FDR45,OUT013,4076.1763315803873
NCN07,OUT017,2001.6121851805983
FDM51,OUT019,1852.2447357823112
FDT52,OUT027,4072.151531610958
FDL26,OUT046,2343.6743869029233
NCZ42,OUT046,3989.4638767744473
DRI47,OUT019,2569.0238421962167
FDW40,OUT013,2154.593501567175
FDN34,OUT046,2922.3483539099907
FDS01,OUT035,2911.963336406272
NCG55,OUT045,1844.3915856005078
FDC11,OUT035,877.6809642536391
FDX35,OUT018,3348.1958129872037
NCB06,OUT046,2399.744652624573
FDR09,OUT019,3903.1667788753875
FDC53,OUT017,1655.8944408216958
FDY45,OUT013,4392.209390483458
FDA22,OUT010,2303.9543910847533
FDE02,OUT035,1161.5969511641597
FDW21,OUT045,1817.8223142635798
FDV34,OUT046,1405.4584453870048
FDS59,OUT049,1762.1542692803996
NCW17,OUT017,2037.6217578723845
NCK54,OUT046,1996.2030584668464
FDG17,OUT019,3991.2429055795947
FDG35,OUT017,2813.1607808312874
FDD08,OUT010,630.6107995143029
NCO07,OUT017,3433.4531220712997
FDJ10,OUT010,1565.8366134014796
FDW36,OUT017,1533.6182298324784
FDW21,OUT010,1902.9132675102082
FDY19,OUT017,1773.4167257386907
DRE03,OUT013,1018.8978997391787
NCC55,OUT049,587.0487055234262
FDH52,OUT010,961.7750470518367
FDO09,OUT017,3717.421971045427
FDU43,OUT045,3665.604052476152
FDX09,OUT010,2542.5119766684984
FDH40,OUT019,1132.5369874164862
FDW58,OUT017,1709.6290508609673
FDC47,OUT017,3153.3639151101706
NCR41,OUT035,1563.228305399578
DRG49,OUT035,3745.3242159872025
FDC52,OUT027,2801.7298136843347
FDY13,OUT046,1327.6058920242212
FDY35,OUT013,1020.2266007735925
FDI35,OUT017,2802.1595726148516
NCU18,OUT049,2210.5744359525197
FDY33,OUT018,2154.657800189547
FDC15,OUT027,2118.237942515101
FDU01,OUT049,3137.9809435272946
NCU42,OUT046,2877.203951623622
NCV29,OUT018,2807.7317655433435
NCY30,OUT017,2853.7519290950477
FDQ46,OUT049,1578.940153793792
FDG58,OUT027,2471.381844850246
FDK33,OUT017,3408.8921247794387
NCD07,OUT045,1802.8302458378894
NCX29,OUT027,2314.060975457367
NCT42,OUT013,2676.819487031149
DRN59,OUT035,613.0127954281998
FDI44,OUT035,960.4945475425811
FDA45,OUT049,2297.701569672532
FDP31,OUT045,471.7247948531476
FDY01,OUT046,1328.30372701769
FDT09,OUT018,2136.1814482646296
DRH03,OUT027,1941.6012566105528
FDA36,OUT018,3060.423256786642
NCF31,OUT017,2339.134648859661
FDG14,OUT049,2423.9084699235573
FDG28,OUT027,4073.17309244629
FDU14,OUT049,3989.2954660493233
FDY47,OUT019,2076.3834625980962
FDI56,OUT049,1287.7901827060487
DRD01,OUT013,1041.4479193608786
FDM22,OUT046,1145.48383645379
FDH33,OUT013,540.735745315611
DRZ24,OUT013,1942.5565580881412
NCQ38,OUT046,1857.9934083596308
FDO16,OUT027,1704.945423929752
FDU07,OUT027,2521.67131512993
NCB07,OUT013,3082.789342048909
FDU48,OUT045,2004.2600327435648
NCM43,OUT045,2707.7070054415526
FDR31,OUT010,2200.8607366822253
DRK49,OUT018,601.5992621936748
NCI30,OUT010,3614.353935068015
DRD60,OUT017,2801.4876485179993
NCG19,OUT046,3258.028408567505
FDH12,OUT035,1473.2900675189594
FDM32,OUT035,1493.6550435747085
FDM27,OUT035,1921.8215304713522
NCU53,OUT027,3050.162511186638
NCQ18,OUT046,1215.0322390712026
FDS10,OUT013,3034.2934012057376
FDB33,OUT027,2853.82921409926
FDI12,OUT013,1338.963922704177
NCW42,OUT013,3595.513778660854
NCC06,OUT018,1981.4251042285032
FDW02,OUT017,1998.5532856589853
NCD43,OUT017,1737.0864883441245
FDM57,OUT018,1088.4637532373781
FDA58,OUT017,3405.0479971956192
FDK56,OUT046,2616.5718175842194
FDP52,OUT045,3804.101258953182
FDW20,OUT018,1911.4469414635169
FDS52,OUT049,1833.9496735367684
NCT29,OUT018,1712.0139516593772
NCL54,OUT013,2817.4198536533877
FDC05,OUT045,2873.3603223595273
FDF34,OUT035,3230.1436362321692
FDP03,OUT027,2128.3369499226537
FDD32,OUT010,1242.8274930956068
FDZ10,OUT045,2189.2623919286198
FDZ40,OUT035,885.0605241292033
FDD51,OUT018,278.0281421802356
NCY30,OUT019,3059.9011493214675
FDP58,OUT017,2956.1698189837116
FDV49,OUT017,4185.2899492947545
FDY24,OUT019,219.9114337052306
NCO55,OUT017,1417.5139919298163
FDR13,OUT017,1866.0946745853835
FDS51,OUT017,977.0896388114488
FDP26,OUT045,1257.6514904693322
NCB54,OUT027,2253.4220799745817
FDF32,OUT017,2906.6721007670494
FDN31,OUT018,2761.055625540859
DRM48,OUT017,193.30215248969762
FDN20,OUT049,2751.798825956015
DRL01,OUT046,3899.235132905793
FDV56,OUT049,1862.5967370878461
DRH13,OUT027,2035.5737358736733
FDA03,OUT017,2192.4733206459205
FDF47,OUT027,3517.071068617508
FDX32,OUT046,2117.3837178406866
FDX57,OUT049,1535.1129201255826
NCA30,OUT045,2580.427744598579
FDO49,OUT013,1065.6564997739224
FDL04,OUT019,1214.798359584598
DRM48,OUT035,256.19241643296846
FDR16,OUT013,3313.4091516911103
NCC19,OUT018,2735.3675147487484
NCE42,OUT045,3809.172090441174
FDY24,OUT017,453.2813929677577
FDH19,OUT049,2820.8148795042216
FDJ46,OUT013,2947.918174632061
FDN45,OUT010,2856.005145054736
FDY08,OUT035,1630.0816306603701
FDZ37,OUT035,1489.897945539553
NCT30,OUT045,623.3612257550485
DRY23,OUT018,308.4718576103114
NCZ30,OUT018,1948.5199444686223
FDC44,OUT018,1099.4775755402297
FDB45,OUT035,1690.587579149731
FDY04,OUT013,2761.3976275473688
FDM27,OUT046,2779.9248331163
FDZ43,OUT017,3676.7543295302967
FDT39,OUT019,2736.7908080050256
NCC06,OUT019,2225.9827024141523
FDL15,OUT027,2648.9415742931196
FDL57,OUT017,3861.698401714173
FDU08,OUT046,1727.7540735095645
FDK40,OUT017,4216.91447299641
FDQ12,OUT010,3592.3526862002545
FDS48,OUT017,2379.2868532228895
FDP09,OUT045,3345.5764277492744
FDW21,OUT049,1830.8743562517047
FDY25,OUT035,2878.71379005209
DRE13,OUT017,1405.3505687849902
FDV43,OUT019,517.6695226857119
FDD22,OUT045,1535.8641735286292
FDM46,OUT019,638.9447510548962
NCO30,OUT010,3012.7707647920324
FDM25,OUT046,2746.790469235766
NCN41,OUT049,1925.9400357957566
FDU24,OUT045,1082.3225928545144
FDZ50,OUT046,2807.209789245335
FDP45,OUT013,4205.080838978654
NCM54,OUT045,1937.869447670273
FDW10,OUT019,2638.3321631042418
FDP20,OUT017,1907.1523125260428
FDK32,OUT046,2413.131805045694
FDN52,OUT049,1060.3643191854717
FDM58,OUT045,1938.1256207768674
FDZ46,OUT027,1879.8053099076606
NCA18,OUT018,1720.9548572929416
FDD35,OUT046,2085.095561468428
NCK31,OUT035,860.4563642127723
FDI40,OUT027,1464.2974358736283
FDT50,OUT019,1128.663721777284
NCT06,OUT046,2668.8849549804836
FDT31,OUT035,3037.632671687952
FDT45,OUT049,819.4981659020668
FDT13,OUT045,3053.432169121166
FDO50,OUT045,1272.9138275616351
NCU18,OUT010,2044.7294023558097
NCR54,OUT049,2883.8658469506117
NCO18,OUT018,2801.085785370815
FDU09,OUT045,832.9873376729593
FDT13,OUT018,2963.4803447309278
FDE09,OUT046,1973.60527462354
NCK53,OUT019,1741.5561774944945
FDG45,OUT049,3626.6474146781693
DRH15,OUT035,427.9687059724347
FDO21,OUT019,3882.6035186101
FDD14,OUT027,2572.068146898324
FDC09,OUT046,1765.2812107570207
FDH45,OUT027,659.9250809776859
FDV32,OUT046,938.2652225295933
FDG12,OUT035,2066.7665202283642
FDS32,OUT013,2459.3631545201206
NCL55,OUT018,3763.944874066692
DRE01,OUT035,3261.4709115609876
DRE15,OUT049,1386.8109982688766
NCL42,OUT045,3866.825634274981
FDP31,OUT013,653.0388427305697
FDN33,OUT018,1068.9577243057465
FDZ59,OUT046,2434.3266400670545
FDE45,OUT010,2764.4965037773254
FDJ07,OUT013,2248.85434471356
FDQ45,OUT018,2981.3854530253448
FDM33,OUT027,3488.401113364027
FDO15,OUT010,1376.4019165172976
FDM46,OUT013,1184.3253174986094
FDR03,OUT045,3383.3726169145957
FDY49,OUT018,2650.1627514858046
FDQ60,OUT045,1623.8383716577264
FDW10,OUT049,2970.7525638264415
FDO51,OUT049,808.8876807264496
FDJ40,OUT018,1599.7509637073126
FDS20,OUT018,2754.7569515877185
FDU45,OUT013,2012.0913134426773
FDV02,OUT035,2548.316763513176
FDN09,OUT046,3913.9187135263783
NCM55,OUT027,3075.6799245435977
FDN23,OUT018,2082.3038778653136
FDY31,OUT010,2257.554421419929
FDW03,OUT010,1800.8297587573034
FDD14,OUT046,2345.048050063997
FDV23,OUT017,1649.5521534161999
DRI03,OUT045,2907.188589103356
FDN13,OUT035,1028.2734050493382
FDF45,OUT027,1339.5095543069692
FDU46,OUT035,1529.4109886368642
FDB57,OUT049,3613.0969980339505
FDV12,OUT049,1801.8316236022038
FDQ58,OUT013,2755.617681735188
NCA18,OUT017,1729.2452566236389
FDH52,OUT049,1245.3008396902987
FDM24,OUT018,2153.240445843556
NCP43,OUT027,3152.7762445900626
NCO18,OUT019,3021.3626790487506
FDM32,OUT017,1444.1445059950565
NCL07,OUT017,602.0569570270563
FDK03,OUT013,4054.3730145996415
FDP59,OUT017,1451.7125242573056
FDQ24,OUT049,4166.699606627582
FDQ16,OUT018,1612.7950547831533
FDU44,OUT013,2681.087495233027
FDH28,OUT010,32.84857088191711
FDV28,OUT019,-250.3525897128893
FDM22,OUT045,870.6570327647751
FDR56,OUT046,2885.6679610509236
FDV39,OUT049,3318.223330619716
FDU37,OUT019,888.384231055752
FDQ11,OUT010,4329.143623565473
FDX02,OUT045,3440.7951105861575
NCS42,OUT018,1285.663539625839
FDY57,OUT027,1392.3778463946146
FDB21,OUT049,3402.482794329837
FDE28,OUT017,3163.3981101792306
FDQ55,OUT017,1863.3647183913454
FDA48,OUT049,3227.533307375481
FDZ19,OUT045,2562.684603884689
NCC43,OUT045,3779.056406211468
NCV18,OUT046,1132.6795448517514
NCA42,OUT018,2519.0001497486373
FDY45,OUT046,4153.6844499134895
NCC30,OUT045,2872.9744794716244
FDM57,OUT013,1429.4385136475357
FDL09,OUT010,1875.9407572289747
FDB09,OUT027,2151.1100467612414
FDT44,OUT035,1567.0054432572724
NCT06,OUT027,2851.9531729142655
FDX26,OUT049,2704.5541196779595
FDK32,OUT013,2581.7379671071576
DRA12,OUT046,2349.0193798232976
FDO46,OUT010,3127.07099582666
FDE52,OUT013,1664.5820092648974
NCH42,OUT045,3690.796510287484
FDV08,OUT035,757.9778641339108
FDB47,OUT018,3119.193384343511
FDC28,OUT010,1619.0584868897313
FDD22,OUT046,1636.6107736993144
FDS07,OUT027,1810.7667931486976
DRI13,OUT045,3508.498058385565
FDG32,OUT018,2771.7982532796123
FDU14,OUT017,3880.46550120505
FDD28,OUT019,955.8756164236729
NCP41,OUT017,1773.7159132247434
FDS08,OUT049,2784.1341806216806
FDX47,OUT045,2566.2518570139437
FDC53,OUT019,1959.3442621038703
FDQ19,OUT035,3932.4453153709474
FDL14,OUT045,2527.2285090131118
FDM33,OUT019,3219.087022360727
FDA51,OUT045,1275.068784895011
FDZ27,OUT018,840.4590572381603
FDT04,OUT046,429.27990851106733
DRC13,OUT049,2095.8022876390205
FDR16,OUT027,3340.7204981127907
FDQ03,OUT027,3798.428060616927
FDE38,OUT035,2654.179443651272
DRH23,OUT027,583.4914921196978
FDT11,OUT019,3160.1847465987557
FDD09,OUT035,2904.7555438074232
FDR40,OUT045,1528.4194772396258
FDX07,OUT017,2882.9761744076022
FDR07,OUT035,1312.9376122264948
FDA51,OUT017,1219.3883364716676
FDT59,OUT019,3931.0504738895106
FDF20,OUT017,3053.5444107021067
FDR13,OUT045,1907.0428044887012
FDY26,OUT049,3368.1021279171837
FDW04,OUT017,1944.529712614607
FDK52,OUT017,3309.824868774478
FDN60,OUT049,2277.432424952596
FDM09,OUT019,2447.600559728042
FDP46,OUT049,1287.1824140087083
FDB50,OUT019,478.27189645341787
NCQ29,OUT049,3842.130891546447
FDP16,OUT027,4116.130203673871
FDX33,OUT018,2134.029396366488
FDP07,OUT010,3302.831177461725
FDN22,OUT046,3556.7171459402125
FDF39,OUT049,4343.710035213942
FDS21,OUT017,970.8273198450661
NCM42,OUT013,2017.1025956111735
FDK50,OUT019,2789.1660237564174
DRF13,OUT027,2621.520896503549
FDH35,OUT018,2386.0019551860096
FDP60,OUT018,1404.2023447933825
DRJ49,OUT027,2430.6699409532957
NCT42,OUT019,2580.1173466292457
FDE38,OUT049,2720.855838920772
FDI04,OUT049,3034.7505015906645
NCH54,OUT045,2358.899861884842
FDT56,OUT049,645.0407286078407
DRD15,OUT018,3514.418684219807
FDV58,OUT013,3413.9861890602842
FDP21,OUT049,3104.4019386052278
FDH05,OUT013,3648.074584132297
FDR10,OUT027,2938.80802420323
NCP06,OUT045,2337.1358950025024
FDF33,OUT049,1860.9497841287703
DRK37,OUT013,3419.639536372335
DRH49,OUT045,1503.1520267341257
FDT58,OUT013,2681.177528108412
FDD41,OUT018,1398.0196694564802
FDP40,OUT018,1745.690134133707
FDM51,OUT027,1931.7037861319404
FDO45,OUT010,1341.0120984514178
FDW33,OUT010,1213.1056597625648
FDY24,OUT045,1118.0386855299948
FDB10,OUT010,3498.4497361343856
FDM40,OUT035,1703.0031148919297
NCI06,OUT017,2774.4172548226015
FDW12,OUT019,2420.405747587676
FDX48,OUT027,2708.6714698542564
NCW05,OUT027,1465.3503801763727
FDX27,OUT017,1078.4858724647856
DRM37,OUT045,2871.2231560692817
FDA38,OUT045,3926.5496892753326
FDR36,OUT046,404.79533202567836
FDZ45,OUT046,3090.062904238108
FDG05,OUT017,2243.250697636591
FDK28,OUT013,4215.183489906161
FDV47,OUT045,1295.272998233926
FDN21,OUT045,2351.5628324136123
FDP20,OUT027,2241.4669741539037
FDI35,OUT045,2871.4298699229184
DRY23,OUT013,634.5664437739106
FDA56,OUT017,2056.194092289392
FDB09,OUT013,2077.133230035157
NCO26,OUT027,1946.8598499635373
FDQ49,OUT018,2354.932118395209
FDI52,OUT027,1900.3317609546066
FDZ44,OUT027,2120.93856164729
FDZ09,OUT018,2193.362269097357
FDY03,OUT049,1661.558796195899
NCG42,OUT017,1962.8450606594306
DRI13,OUT027,3774.835590708193
FDQ32,OUT013,2154.792755971812
FDW16,OUT035,1406.2532313202864
FDU27,OUT046,219.24960985622602
FDR28,OUT010,2622.3603682020293
FDQ49,OUT010,2411.651308138513
FDS37,OUT046,1994.5088669378165
FDW26,OUT018,3093.019542795395
FDX12,OUT018,3747.2295288379355
NCP06,OUT013,2563.723482109621
FDW45,OUT010,2224.315167290675
NCN30,OUT049,1647.0667019287284
FDN24,OUT049,575.5124790150512
NCL41,OUT027,785.016739247847
FDR02,OUT019,1995.6831415623965
FDD09,OUT010,2940.120860210922
FDS33,OUT010,1668.9990905843588
FDU22,OUT045,1673.9087453779648
FDI53,OUT013,2370.1801436436763
DRH01,OUT049,2541.8524852004157
FDX32,OUT013,2200.2737561807917
NCP30,OUT018,558.6203295519517
FDB60,OUT045,3177.576227648693
FDB14,OUT049,1217.6380428356933
NCP02,OUT035,935.9772194192519
FDJ10,OUT017,1804.9933158031781
FDG34,OUT046,2029.3183345887555
NCB18,OUT017,1302.9798232110988
FDM16,OUT049,1301.9703996092685
FDW25,OUT018,1318.5313608044416
FDB35,OUT010,1220.0080410034134
DRN11,OUT013,1960.3033395994353
FDF41,OUT019,3296.8570068985937
FDH16,OUT045,1378.7543631413246
NCQ50,OUT018,3259.8446223291976
DRH23,OUT018,237.65661380029997
DRJ37,OUT013,2540.039072174379
DRJ24,OUT027,2835.7342295018752
FDY16,OUT035,2614.4009504363275
FDQ27,OUT045,1712.8917963102722
FDZ33,OUT045,2075.176853823945
FDF29,OUT045,2174.373012810269
FDA08,OUT049,2594.449699300574
FDG31,OUT046,1317.3295676378693
FDE34,OUT019,3324.743544414352
NCR30,OUT027,1292.6132447924356
FDV33,OUT035,4125.842771510055
DRZ24,OUT018,2039.3753514431046
NCL54,OUT035,2535.5481208627352
FDR12,OUT049,2826.240835900997
NCC54,OUT046,3602.586812932521
DRN59,OUT013,1136.9759801786167
FDX50,OUT019,1591.4696549113614
FDV31,OUT027,2766.2972954406214
NCA29,OUT027,3036.8440952394085
FDW60,OUT049,2995.1300911398903
FDX08,OUT017,2904.4380442509755
DRD49,OUT013,3382.470406183522
FDD33,OUT046,3416.898983748164
FDW35,OUT013,1054.9474722342347
FDJ36,OUT017,1171.4400224556848
FDV51,OUT035,2630.3074418594697
FDW36,OUT046,1709.7475267300397
FDH35,OUT046,2572.0387213240574
NCS30,OUT027,2086.577079743489
FDN49,OUT017,159.05545102188626
FDL08,OUT018,3758.692591366238
FDI09,OUT013,3550.9500672575014
FDP19,OUT018,1370.6320762513642
FDU21,OUT010,221.60945279050793
NCP41,OUT045,1812.8962770279395
FDY10,OUT013,1941.70718847217
FDP12,OUT018,508.8662738604362
NCN26,OUT049,1962.1726650399942
FDK44,OUT013,2582.2298928592136
FDC28,OUT049,1751.0639968658434
FDJ41,OUT027,4469.444466177014
NCT29,OUT035,1839.6367342501726
NCH42,OUT019,3738.1750953298397
FDU60,OUT018,2426.8559118708217
FDS02,OUT045,2596.600602047889
FDC51,OUT046,2185.17369642033
FDU03,OUT013,2836.344350400308
FDX39,OUT045,3300.120424499466
NCY05,OUT010,433.4330859164038
NCL06,OUT027,4195.989373170203
FDD32,OUT035,1421.1576035807811
NCN41,OUT045,1883.1114175202492
NCX53,OUT049,2368.4898461660378
FDU57,OUT019,2090.7025060602027
FDQ23,OUT046,1845.2727765700947
FDQ52,OUT045,3550.229158966813
FDC14,OUT045,656.71233712307
FDY09,OUT035,2830.676290851712
FDQ28,OUT045,2389.3517081501486
FDV25,OUT046,3580.903049892775
FDJ07,OUT035,1981.2395322000157
DRB25,OUT049,1612.636854087883
FDK52,OUT019,3352.5833021973194
FDY52,OUT027,1413.9532690196502
FDB28,OUT046,2997.9691611642666
FDT36,OUT035,261.5725935201117
FDV25,OUT017,3459.7318313053293
NCN07,OUT027,2344.762140197123
FDC57,OUT017,2886.2282107758147
FDQ03,OUT018,3460.5532062885322
FDU23,OUT017,2673.301265858365
NCX41,OUT035,3404.4526492792065
NCD06,OUT035,477.55929235689837
FDW08,OUT045,1223.8472982082021
NCU29,OUT017,2337.6493055639767
NCE06,OUT013,2573.0346997213746
FDV52,OUT010,1156.2522398213405
FDB02,OUT017,2802.215316998052
NCR18,OUT045,786.4451826562181
FDK16,OUT049,1764.2032290492207
NCQ29,OUT010,3536.6105461267143
FDZ01,OUT019,2005.3783556399321
FDW27,OUT035,2008.4187240763786
FDD17,OUT018,3728.6481586013324
FDW39,OUT013,3059.682910024374
DRH59,OUT045,1107.51161296407
FDS52,OUT013,2018.9329582352038
FDU40,OUT027,3341.61088743011
NCF54,OUT013,2900.2423095286395
FDH46,OUT045,1679.3661743529228
NCP14,OUT049,1411.9778288516172
FDH50,OUT049,3148.497154176126
DRF15,OUT010,2395.809217583952
FDV27,OUT027,1646.200322030767
NCJ06,OUT049,1945.6872693911027
FDN02,OUT018,2982.6719208214818
FDQ51,OUT049,887.9175905062766
FDQ07,OUT017,3225.677010208801
FDS45,OUT049,1820.6616748838387
NCJ06,OUT045,1920.0779430240473
FDD36,OUT035,1930.9222573939114
FDY25,OUT045,2929.2381738117547
FDU52,OUT046,2457.0207209974214
DRK47,OUT017,3441.151668712846
NCL30,OUT017,1910.636585457687
